venue,computer vision,data mining databases,machine learning,mixed topic,networks wireless systems,social recommender systems
Applied Mathematics and Computation,0.02564102564102564,0.018315018315018316,0.12637362637362637,0.7014652014652014,0.009157509157509158,0.11904761904761904
Lecture Notes in Computer Science,0.1054783319705642,0.3327882256745707,0.21749795584627965,0.23058053965658218,0.07031888798037612,0.04333605887162715
global communications conference,0.010719754977029096,0.04900459418070444,0.0444104134762634,0.5068912710566615,0.3660030627871363,0.022970903522205207
intelligent robots and systems,0.18147448015122875,0.06994328922495274,0.12098298676748583,0.15689981096408318,0.026465028355387523,0.444234404536862
"international conference on acoustics, speech, and signal processing",0.28456104944500504,0.02119071644803229,0.2119071644803229,0.41876892028254287,0.04339051463168517,0.020181634712411706
international conference on communications,0.011644832605531296,0.06550218340611354,0.06259097525473072,0.4861717612809316,0.3508005822416303,0.023289665211062592
international conference on image processing,0.7226890756302521,0.018487394957983194,0.10252100840336134,0.13277310924369748,0.0067226890756302525,0.01680672268907563
international conference on robotics and automation,0.14666666666666667,0.051666666666666666,0.14333333333333334,0.15166666666666667,0.021666666666666667,0.485
international geoscience and remote sensing symposium,0.33126934984520123,0.05572755417956656,0.48297213622291024,0.11609907120743033,0.010835913312693499,0.0030959752321981426
international symposium on circuits and systems,0.10952380952380952,0.007936507936507936,0.05714285714285714,0.7444444444444445,0.03333333333333333,0.047619047619047616
