venue,computer vision,data mining databases,machine learning,mixed topic,networks wireless systems,social recommender systems
Applied Mathematics and Computation,2.564102564102564,1.8315018315018317,12.637362637362637,70.14652014652015,0.9157509157509158,11.904761904761903
Lecture Notes in Computer Science,10.54783319705642,33.27882256745707,21.749795584627964,23.058053965658218,7.031888798037612,4.333605887162715
global communications conference,1.0719754977029097,4.900459418070445,4.44104134762634,50.68912710566615,36.60030627871363,2.2970903522205206
intelligent robots and systems,18.147448015122876,6.994328922495274,12.098298676748582,15.689981096408317,2.6465028355387523,44.423440453686204
"international conference on acoustics, speech, and signal processing",28.456104944500503,2.119071644803229,21.19071644803229,41.87689202825429,4.339051463168516,2.0181634712411705
international conference on communications,1.1644832605531297,6.550218340611353,6.259097525473072,48.617176128093156,35.08005822416303,2.3289665211062593
international conference on image processing,72.26890756302521,1.8487394957983194,10.252100840336134,13.277310924369749,0.6722689075630253,1.680672268907563
international conference on robotics and automation,14.666666666666666,5.166666666666667,14.333333333333334,15.166666666666668,2.166666666666667,48.5
international geoscience and remote sensing symposium,33.126934984520126,5.572755417956656,48.297213622291025,11.609907120743033,1.08359133126935,0.30959752321981426
international symposium on circuits and systems,10.952380952380953,0.7936507936507936,5.714285714285714,74.44444444444444,3.3333333333333335,4.761904761904762
